finding_id,study_id,rule_id,severity,cdisc_standard,dataset,variable,message,ai_category,ai_root_cause,ai_suggested_fix,avg_resolution_hrs
P21-001,FTR-001,SD0083,Error,SDTM,AE,AETERM,Record with non-null value for AETERM where AESPID is missing,Traceability,AESPID not populated for all AE records — likely missing from source data mapping,Populate AESPID from source CRF field SPONSOR_AE_ID. Review mapping spec section 3.2.,4
P21-002,FTR-001,SD0006,Error,SDTM,DM,RFSTDTC,Value of RFSTDTC is after RFENDTC,Date Logic,Reference start date populated after end date — likely data entry error or imputation logic issue,Review RFSTDTC/RFENDTC derivation. Cross-check with VISITDTC for Visit 1.,3
P21-003,FTR-001,AD0019,Error,ADaM,ADSL,TRTSDT,TRTSDT is missing for subjects with ITTFL=Y,Derivation,Treatment start date missing for ITT subjects — ADSL derivation logic not handling screen-failure edge case,"Add condition: if ITTFL=Y and TRTSDT is null, derive from EX.EXSTDTC first non-missing.",6
P21-004,FTR-001,SD0070,Warning,SDTM,LB,LBORRES,More than 20% of records have LBORRES missing where LBSTAT is null,Completeness,Lab results missing without corresponding NOT DONE flag — source EDC data issue,Set LBSTAT=ND and LBREASND=NOT DONE for records where LBORRES is null and LBSTAT is null.,2
P21-005,FTR-013,SD0083,Error,SDTM,CM,CMDOSE,CMDOSE is non-null but CMDOSU is missing,Completeness,Dose recorded without unit — mapping spec missing CMDOSU derivation,Add CMDOSU derivation from CRF DOSE_UNIT field. Default to mg if unit field is blank and drug route is oral.,3
P21-006,FTR-013,AD0055,Error,ADaM,ADAE,ASTDT,ASTDT is missing for 12 records in ADAE,Derivation,Adverse event analysis start date not derived — AESTDTC has partial dates not handled by conversion macro,Update %ISO8601_TO_NUM macro to handle partial dates: use first of month if day missing.,5
P21-007,FTR-006,SD0049,Warning,SDTM,VS,VSSTRESU,VSSTRESU values inconsistent: mix of 'mmHg' and 'mm Hg' for blood pressure,Standardization,Unit values not standardized — source EDC allows free-text entry for units,Standardize in mapping: VSSTRESU = 'mmHg' for all blood pressure records. Add to standardization macro.,1
P21-008,FTR-006,AD0071,Warning,ADaM,ADLB,BASE,BASE is populated for subjects where ABLFL is null,Baseline Flag,Baseline flag not set correctly — multiple pre-dose records exist and selection logic defaulting to wrong visit,Review ABLFL derivation: baseline = last non-missing result before first dose (TRTSDT). Check ADLB_baseline_criteria in SAP.,4
P21-009,FTR-009,SD0092,Error,SDTM,EX,EXDOSE,EXDOSE=0 for 8 records where EXOCCUR=Y,Data Integrity,Zero dose recorded when exposure occurred — likely data cleaning gap in EDC,"Escalate to DM for source data query. If dose actually administered, obtain correct value. If not, set EXOCCUR=N.",8
P21-010,FTR-009,SD0012,Warning,SDTM,DM,AGE,AGE not consistent with BRTHDTC and RFSTDTC for 3 subjects,Derivation,Age derived from rounded year only — not using full date calculation,Re-derive AGE = floor((RFSTDTC_date - BRTHDTC_date)/365.25). Update DM derivation program.,2
P21-011,FTR-001,DCTP001,Error,Define.xml,LB,LBTEST,LBTEST label in Define.xml does not match codelist in SDTM IG v3.4,Define.xml,Codelist in Define.xml references old version of LBTEST codelist,Update Define.xml LBTEST codelist to CDISC LBTEST v3.4. Re-run define generation program.,2
P21-012,FTR-013,DCTP005,Warning,Define.xml,CM,CMROUTE,CMROUTE codelist not referenced in Define.xml ItemDef,Define.xml,CMROUTE added to SDTM but Define.xml not regenerated after SAP amendment,Regenerate Define.xml from updated metadata. Verify CMROUTE codelist C66729 is referenced.,1
P21-013,FTR-007,AD0033,Error,ADaM,ADTTE,EVNTDESC,EVNTDESC is null for 5 records where CNSR=0,Completeness,Event description missing for uncensored TTE records — derivation not handling composite endpoint correctly,Populate EVNTDESC for all CNSR=0 records. Source from first qualifying event in AE/DS per SAP section 9.3.,4
P21-014,FTR-007,SD0055,Warning,SDTM,MH,MHENRTPT,MHENRTPT='BEFORE' for records where MHTERM is an ongoing condition,Terminology,Ongoing medical history coded as ended — MHENRTPT should be 'ONGOING' for active conditions,Review MH mapping: set MHENRTPT=ONGOING where MHONGO=Y in source data.,2
P21-015,FTR-018,AD0015,Error,ADaM,ADSL,SAFFL,SAFFL=Y for 2 subjects with no EX records,Population Flag,Safety population flag incorrectly set — subjects without any drug exposure flagged as safety,Safety population requires at least one EX record (EXOCCUR=Y). Remove SAFFL=Y for subjects with no EX records.,6
