study_id,therapeutic_area,phase,num_datasets,num_tfls,num_amendments,complexity_score,team_size,timeline_weeks_planned,timeline_weeks_actual,qc_pass_first_attempt,on_time_delivery,primary_delay_reason
HIST-001,Oncology,Phase III,28,80,4,8,5,52,61,0,0,High amendment count
HIST-002,Cardiovascular,Phase III,24,68,1,6,4,48,49,1,1,
HIST-003,Immunology,Phase II,14,38,0,4,2,32,31,1,1,
HIST-004,Oncology,Phase II,18,50,3,7,3,40,52,0,0,Late SAP changes
HIST-005,Respiratory,Phase III,20,56,2,6,4,44,46,1,1,
HIST-006,Neurology,Phase III,26,72,5,9,4,56,72,0,0,Multiple amendments + QC failures
HIST-007,Rare Disease,Phase II,10,28,1,5,2,28,29,1,1,
HIST-008,Cardiovascular,Phase II,12,32,0,3,2,24,24,1,1,
HIST-009,Oncology,Phase III,30,84,6,9,5,60,78,0,0,Complex endpoints + amendments
HIST-010,Dermatology,Phase II,10,26,0,3,1,20,21,1,1,
HIST-011,Immunology,Phase III,22,62,2,6,4,48,50,1,1,
HIST-012,Neurology,Phase II,14,36,4,7,2,36,47,0,0,Underpowered team + amendments
HIST-013,Respiratory,Phase II,8,22,0,2,1,18,18,1,1,
HIST-014,Oncology,Phase I/II,8,20,1,4,1,16,17,1,1,
HIST-015,Cardiovascular,Phase III,26,72,3,7,5,52,55,1,0,Timeline variance
HIST-016,Rare Disease,Phase III,16,44,2,6,3,40,44,1,0,Complexity underestimated
HIST-017,Dermatology,Phase III,18,52,1,5,3,36,37,1,1,
HIST-018,Oncology,Phase II,20,54,4,8,3,44,58,0,0,Late protocol changes
HIST-019,Immunology,Phase II,12,30,0,3,2,24,23,1,1,
HIST-020,Cardiovascular,Phase II,10,26,2,5,2,28,33,0,0,QC rework
HIST-021,Neurology,Phase III,24,68,3,7,4,52,54,1,0,Minor overrun
HIST-022,Respiratory,Phase III,22,60,1,5,3,44,43,1,1,
HIST-023,Oncology,Phase III,32,88,7,10,5,64,85,0,0,High complexity + staff turnover
HIST-024,Immunology,Phase III,20,58,0,5,3,40,39,1,1,
HIST-025,Rare Disease,Phase II,8,22,1,4,2,24,26,1,1,
